-------------------- 12万以下 --------------------
id	src_id	name	guide_price	user_score	preserve_range	preserve_mean	cat_name	grade	engine	charge_fast	charge_slow	mileag	index_url	energy_type	max_power	max_torque	oil_wear	max_horse	max_speed	office_acc_time	battery_capacity	wordmouth_num	yiche_score	pc_score	score
317	2556	东风乘用车-东风风神A60	6.97-8.37	4.48	38.700000-63.730000	50.02	轿车	紧凑型车	1.5	0	0	0	//www.autohome.com.cn/2556/#pvareaid=2042208	汽油	103.0	196.0	6.3	140.0	192.0	13.0	0	1	4.65	42.7	0.16314153961717964
339	3493	东风乘用车-东风风神A30	5.97-8.57	4.23	41.950000-73.280000	55.468	轿车	紧凑型车	1.5	0	0	0	//www.autohome.com.cn/3493/#pvareaid=2042208	汽油	85.0	145.0	5.9	116.0	188.0	0	0	1	4.67	41.8	0.15774361447870616
51	2922	上汽大众-桑塔纳	8.49-13.89	4.33	41.580000-65.840000	52.962	轿车	紧凑型车	1.6	0	0	0	//www.autohome.com.cn/2922/#pvareaid=2042208	汽油	81.0	155.0	5.9	110.0	185.0	12.5	0	107	4.74	43.9	0.1577379956264049
232	4833	北京现代-逸行	8.09-11.99	4.5	44.930000-69.500000	56.492	轿车	紧凑型车	1.6	0	0	0	//www.autohome.com.cn/4833/#pvareaid=2042208	汽油	90.2	150.7	6.0	123.0	190.0	0	0	5	0	45.4	0.15661121097917202
27	16	一汽-大众-捷达	8.11-10.88	4.46	41.940000-66.350000	53.314	轿车	紧凑型车	1.5	0	0	0	//www.autohome.com.cn/16/#pvareaid=2042208	汽油	81.0	150.0	5.7	110.0	185.0	11.9	0	44	4.66	65.1	0.15633963565528394
211	813	东风悦达起亚-福瑞迪	7.88-10.98	4.41	37.490000-60.610000	48.846	轿车	紧凑型车	1.6	0	0	0	//www.autohome.com.cn/813/#pvareaid=2042208	汽油	90.2	151.0	6.0	123.0	186.0	0	0	20	4.17	4.13	0.15598085108259693
188	3290	上汽斯柯达-昕动	6.99-11.99	4.33	41.790000-67.210000	53.376	轿车	紧凑型车	1.5	0	0	0	//www.autohome.com.cn/3290/#pvareaid=2042208	汽油	81.0	150.0	5.6	110.0	185.0	12.6	0	0	4.57	45.1	0.1557256255745888
187	4901	东南汽车-东南A5翼舞	4.99-7.59	4.59	52.720000-81.520000	66.588	轿车	紧凑型车	1.5	0	0	0	//www.autohome.com.cn/4901/#pvareaid=2042208	汽油	88.0	143.0	5.8	120.0	0	0	0	92	4.34	44.1	0.1554410016704351
174	4971	奇瑞汽车-艾瑞泽EX	5.99-8.29	4.6	54.050000-83.630000	68.344	轿车	紧凑型车	1.5	0	0	0	//www.autohome.com.cn/4971/#pvareaid=2042208	汽油	85.0	141.0	6.9	116.0	180.0	0	0	0	0	4.78	0.1550479491353035
321	3979	天津一汽-骏派A70	6.48-8.78	4.56	42.280000-69.480000	55.25	轿车	紧凑型车	1.6	0	0	0	//www.autohome.com.cn/3979/#pvareaid=2042208	汽油	83.0	155.0	6.8	113.0	180.0	0	0	116	4.82	0	0.15494736498966816
81	875	上汽通用别克-凯越	8.39-9.99	4.56	39.730000-67.860000	53.816	轿车	紧凑型车	1.3	0	0	0	//www.autohome.com.cn/875/#pvareaid=2042208	汽油	79.0	133.0	4.9	107.0	170.0	0	0	59	4.42	65.3	0.15455391582753508
358	3461	东风乘用车-东风风神L60	8.97-12.97	4.35	32.910000-56.580000	44.21	轿车	紧凑型车	1.8	0	0	0	//www.autohome.com.cn/3461/#pvareaid=2042208	汽油	102.0	172.0	7.5	139.0	195.0	0	0	66	4.55	43.6	0.15419986531883484
66	3556	吉利汽车-帝豪	6.98-10.08	4.35	38.570000-66.190000	50.424	轿车	紧凑型车	1.5	0	0	0	//www.autohome.com.cn/3556/#pvareaid=2042208	汽油	80.0	140.0	5.9	109.0	175.0	0	0	989	0	0	0.15263913480937483
